 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
"BuildingDescription_PotionMaker","Crafts 2 <style=KeyWord>Consumables</style> every <style=Production>Production Phase</style>.
Additional <style=KeyWord>Consumables</style> can be crafted with the help of <style=Workers>Workers</style>.","Fabrique 2 <style=KeyWord>Consommables</style> à chaque <style=Production>Phase de Production</style>.
Des <style=KeyWord>Consommables</style> supplémentaires peuvent être fabriqués avec l'aide d'<style=Workers>Ouvriers</style>.","在每个<style=Production>整备阶段</style>产出2个<style=KeyWord>消耗品</style>。
在<style=Workers>工人</style>的帮助下可以生产出更多<style=KeyWord>消耗品</style>。","在每個<style=Production>整備階段</style>產出2個<style=KeyWord>消耗品</style>。
在<style=Workers>工人</style>的幫助下可以生產出更多<style=KeyWord>消耗品</style>。","<style=Production>生産フェーズ</style>毎に<style=KeyWord>消費アイテム</style>を2つ作る。
<style=Workers>労働者</style>の力により、追加の<style=KeyWord>消費アイテム</style>が作られる。","Производит 2 <style=KeyWord>расходуемых предмета</style> каждую <style=Production>фазу производства</style>.
Может производить больше <style=KeyWord>расходуемых предметов</style> с помощью <style=Workers>рабочих</style>.","Створює 2 <style=KeyWord>витратні речі</style> під час кожної <style=Production>фази підготовки</style>.
Можна створити додаткові <style=KeyWord>витратні речі</style> з допомогою <style=Workers>робітників</style>.","Erschafft 2 <style=KeyWord>Konsumgüter</style> in jeder <style=Production>Produktionsphase</style> her.
Zusätzliche <style=KeyWord>Konsumgüter</style> können mithilfe von <style=Workers>Arbeitern</style> hergestellt werden.","Fabrica 2 <style=KeyWord>objetos consumibles</style> en cada <style=Production>fase de producción</style>.
 Puede fabricar <style=KeyWord>objetos consumibles</style> adicionales con ayuda de <style=Workers>trabajadores</style>.","Produz 2 <style=KeyWord>Consumíveis</style> toda <style=Production>Fase de Produção</style>.
<style=KeyWord>Consumíveis</style> adicionais podem ser produzidos com a ajuda de <style=Workers>Trabalhadores</style>.","<style=Production>생산 단계</style>를 시작할 때마다 <style=KeyWord>소모품</style> 2개를 제작합니다.
<style=Workers>일꾼</style>의 도움을 받아 <style=KeyWord>소모품</style>을 더 제작할 수 있습니다."
"BuildingUpgradeTooltipName_UpgradeFillGaugeProductionPotion0","Production +","Production +","生产力 +","生產力 +","生産量+","Производство +","Виробництво +","Produktion +","Producción +","Produção +","생산 +"
"BuildingUpgradeTooltipDescription_UpgradeFillGaugeProductionPotion0","Upgrades passive <style=ProductionEffect>production</style>:
• <style=KeyWord>Item(s)</style> crafted <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Améliore la <style=ProductionEffect>production</style> passive<nbsp>:
• <style=KeyWord>Objets</style> fabriqués <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","升级自动<style=ProductionEffect>生产力</style>：
 • 生产<style=KeyWord>物品</style>数量 <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","升級自動<style=ProductionEffect>生產力</style>：
• 生產<style=KeyWord>物品</style>數量 <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","自動的な<style=ProductionEffect>生産</style>を強化する:
 ・生産される<style=KeyWord>アイテム</style><style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","Улучшает пассивное <style=ProductionEffect>производство</style>:
• <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style> предм. <style=KeyWord>каждое утро</style>.","Покращує пасивне <style=ProductionEffect>виробництво</style>:
 • Створених <style=KeyWord>речей</style> <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Verbessert die passive <style=ProductionEffect>Produktion</style>:
 • <style=KeyWord>Gegenstände</style> hergestellt <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Mejora la <style=ProductionEffect>producción</style> pasiva:
 • <style=KeyWord>Objetos</style> fabricados <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Melhora a <style=ProductionEffect>produção</style> passiva:
 • <style=KeyWord>Item(ns)</style> produzido(s) <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","기본 <style=ProductionEffect>생산</style> 강화:
 • 제작 <style=KeyWord>아이템</style> <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>"
"SkillName_Assassinate_Unique","Assassinate","Assassinat","暗杀","暗殺","暗殺","Стрельба наповал","Убивство","Meucheln","Asesinato","Assassinato","암살"
"SkillName_InfectUnique","Infect","Infection","感染","感染","汚染","Зараза","Зараження","Infizieren","Infección","Infecção","감염"
"SkillName_SlowDeathOffhand","Slow Death (Off-hand)","Mort à petit feu (secondaire)","缓慢死亡（副手）","緩慢死亡（副手）","緩やかな死(オフハンド)","Долгая смерть (вторая рука)","Повільна смерть (допоміжне)","Langsamer Tot (Nebenhand)","Muerte lenta (mano secundaria)","Morte Lenta (mão secundária)","느린 죽음 (보조)"
"SkillEffectDescription_ResupplyCharges","<style=KeyWord>Gives back</style> <style=GoodNb>2</style> <style=TrapUse>Charge</style> to the target trap.
<style=Attenuated>Cannot overflow.</style>","<style=KeyWord>Rend</style> <style=GoodNb>2</style> <style=TrapUse>Charge</style> au piège ciblé.
<style=Attenuated>Ne peut dépasser la valeur maximale de l'attribut.</style>","<style=KeyWord>补充</style>陷阱的<style=GoodNb>2次</style><style=TrapUse>使用次数</style>。
<style=Attenuated>不能超过</style>上限。","<style=KeyWord>補充</style>陷阱的<style=GoodNb>2次</style><style=TrapUse>使用次數</style>。
<style=Attenuated>不能超過</style>上限。","対象トラップの<style=TrapUse>チャージ</style>を<style=GoodNb>2</style>回復<style=KeyWord>する</style>。
<style=Attenuated>回数上限を超えることはない。</style>","<style=KeyWord>Восстанавливает</style> <style=GoodNb>2</style> <style=TrapUse>заряд</style> выбранной ловушке.
<style=Attenuated>ВАЖНО: излишек зарядов будет потерян!</style>","<style=KeyWord>Повертає</style> <style=GoodNb>2</style> <style=TrapUse>заряд</style> цільової пастки.
<style=Attenuated>Неможливо зробити більше максимуму.</style>","<style=KeyWord>Gibt</style> <style=GoodNb>2</style> <style=TrapUse>Ladung</style> an die Zielfalle zurück.
 <style=Attenuated>Kann nicht überlaufen.</style>","<style=KeyWord>Recupera</style> <style=GoodNb>2 </style> <style=TrapUse>carga</style> de la trampa objetivo.
<style=Attenuated>No puede sobrepasar el máximo.</style>","<style=KeyWord>Devolve</style> <style=GoodNb>2</style> <style=TrapUse>Carga</style> à armadilha alvo.
<style=Attenuated>Não excede o máximo.</style>","대상 함정에 <style=TrapUse>충전</style>을 <style=GoodNb>2</style>회만큼 <style=KeyWord>돌려줍니다</style>.
<style=Attenuated>최대치를 초과할 수 없습니다.</style>"
"SkillEffectDescription_ResupplyOverallUses","<style=KeyWord>Gives back</style> <style=GoodNb>3</style> <style=UsePerNight>Use per night</style> to the target defense.
<style=Attenuated>Cannot overflow.</style>","<style=KeyWord>Rend</style> <style=GoodNb>3</style> <style=UsePerNight>utilisation par nuit</style> à la défense ciblée.
<style=Attenuated>Ne peut dépasser la valeur maximale de l'attribut.</style>","<style=KeyWord>补充</style>防御设施的<style=GoodNb>3次</style><style=UsePerNight>每晚使用次数</style>。
<style=Attenuated>不能超过</style>上限。","<style=KeyWord>補充</style>防禦設施的<style=GoodNb>3次</style><style=UsePerNight>每晚使用次數</style>。
<style=Attenuated>不能超過</style>上限。","対象防衛施設の<style=UsePerNight>夜間使用回数</style>を<style=GoodNb>3</style><style=KeyWord>回復する</style>。
<style=Attenuated>回数上限を超えることはない。</style>","<style=KeyWord>Восстанавливает</style> <style=GoodNb>3</style> <style=UsePerNight>заряд на ночь</style> выбранному защитному зданию.
<style=Attenuated>ВАЖНО: излишек зарядов будет потерян!</style>","<style=KeyWord>Повертає</style> <style=GoodNb>3</style> <style=UsePerNight>використання за ніч</style> до захисту цілі.
<style=Attenuated>Неможливо зробити більше максимуму.</style>","<style=KeyWord>Gibt</style> <style=GoodNb>3</style> <style=UsePerNight>Einsatz pro Nacht</style> an die Zielverteidigung zurück.
 <style=Attenuated>Kann nicht überlaufen.</style>","<style=KeyWord>Recupera</style> <style=GoodNb>3</style> <style=UsePerNight>uso por noche</style> de la defensa del objetivo.
<style=Attenuated>No puede sobrepasar el máximo.</style>","<style=KeyWord>Devolve</style> <style=GoodNb>3</style> <style=UsePerNight>Uso por noite</style> à defesa do alvo.
<style=Attenuated>Não excede o máximo.</style>","대상 방어 시설에 <style=UsePerNight>하룻밤 사용 횟수</style>를 <style=GoodNb>3</style>회만큼 <style=KeyWord>돌려줍니다</style>.
<style=Attenuated>최대치를 초과할 수 없습니다.</style>"
"PerkName_FirstBlood","Cherry Picking","Tri sélectif","就是你了","就是你了","いいとこ取り","Враг одиночества","Вередливий","Wählerisch","Tiquismiquis","Escolhendo a Dedo","골라 먹기"
"PerkDescription_FirstBlood","When <style=KeyWord>attacking</style> an <style=KeyWord>isolated</style> unit, the attack gets:
{0}.","Lorsqu'une unité <style=KeyWord>isolée</style> est <style=KeyWord>attaquée</style>, l'attaque obtient<nbsp>:
{0}.","当<style=KeyWord>攻击</style><style=KeyWord>落单</style>的敌人时，此次攻击获得：
{0}","當<style=KeyWord>攻擊</style><style=KeyWord>落單</style>的敵人時，此次攻擊獲得：
{0}","<style=KeyWord>孤立した</style>ユニットへ<style=KeyWord>攻撃</style>時、以下の効果を得る: {0}。","Если цель <style=KeyWord>атаки</style> героя <style=KeyWord>изолирована</style>, атака получает бонус:
{0}.","Під час <style=KeyWord>атаки</style> <style=KeyWord>відокремленого</style> монстра, атака отримує:
{0}.","Beim <style=KeyWord>Angriff</style> auf einen <style=KeyWord>isolierte</style> Einheit, erhält der Angriff:
{0}.","Al <style=KeyWord>atacar</style> a una unidad <style=KeyWord>aislada</style>, el ataque obtiene:
{0}.","Quando <style=KeyWord>atacar</style> uma unidade <style=KeyWord>isolada</style>, o ataque recebe:
{0}.","<style=KeyWord>고립</style> 상태인 유닛을 <style=KeyWord>공격</style>할 경우:
{0}"
"PerkName_CherryPicking","First Blood","Premier sang","第一滴血","第一滴血","先制の血","Первая кровь","Перша кров","Erstschlag","Primera sangre","Sangue Fresco","선제 타격"
"PerkDescription_CherryPicking","When <style=KeyWord>attacking</style> a unit with <style=KeyWord>full</style> {0}, the attack gets:
{1}.","Lorsqu'une unité avec toute sa {0} est <style=KeyWord>attaquée</style>, l'attaque obtient<nbsp>:
{1}.","当<style=KeyWord>攻击</style>{0}<style=KeyWord>为满</style>的敌人时，此次攻击获得：
{1}","當<style=KeyWord>攻擊</style>{0}<style=KeyWord>為滿</style>的敵人時，此次攻擊獲得：
{1}","{0}が<style=KeyWord>満タン</style>のユニットを<style=KeyWord>攻撃</style>時、その攻撃は以下の効果を得る:
{1}。","Если герой <style=KeyWord>атакует</style> существо, у которого {0} <style=KeyWord>на максимуме</style>, атака получает бонус:
{1}.","Під час <style=KeyWord>атаки</style> на монстра з <style=KeyWord>повним</style> значенням {0}, атака отримує:
{1}.","Beim <style=KeyWord>Angriff</style> auf eine Einheit mit <style=KeyWord>voller</style> {0}, erhält der Angriff:
{1}.","Al <style=KeyWord>atacar</style> a una unidad con {0} <style=KeyWord>al completo</style>, el ataque obtiene: 
{1}.","Quando <style=KeyWord>atacar</style> uma unidade com a {0} ainda <style=KeyWord>cheia</style>, o ataque recebe:
{1}.","<style=KeyWord>최대</style> {0} 상태인 유닛을 <style=KeyWord>공격할</style> 경우:
{1}"
"PerkDescription_Initiator","As long as the Hero <style=Bad>didn't</style> <style=KeyWord>kill</style> anything this turn:
{0}.
{1}.
{2}.","Tant que le Héros <style=Bad>n'a pas</style> <style=KeyWord>tué</style> d'unité durant ce tour<nbsp>:
{0}.
{1}.
{2}.","如果本回合内英雄<style=Bad>没有</style><style=KeyWord>击杀</style>任何单位：
{0}。
{1}。
{2}。","當英雄此回合<style=Bad>沒有</style>任何<style=KeyWord>擊殺</style>時：
{0}。
{1}。
{2}。","このターンで英雄が何も<style=KeyWord>撃破</style><style=Bad>しなかった</style>場合:
{0}。
{1}。
{2}。","Пока герой <style=Bad>ещё не</style> <style=KeyWord>убил</style> никого в этот ход, он получает бонус:
{0}.
{1}.
{2}.","Якщо герой упродовж цього ходу <style=Bad>не</style> <style=KeyWord>вбив</style> жодного ворога:
{0}.
{1}.
{2}.","Solange der Held in dieser Runde noch <style=Bad>nicht</style> <style=KeyWord>getötet</style> hat:
{0}.
{1}.
{2}.","Mientras el héroe <style=Bad>no</style> <style=KeyWord>mate</style> a nadie durante el turno:
{0}.
{1}.
{2}.
{0}.","Desde que o Herói <style=Bad>não</style> <style=KeyWord>abata</style> ninguém neste turno:
{0}.","영웅이 이번 턴에 아무도 <style=KeyWord>처치하지</style> <style=Bad>않은</style> 경우:
{0}"
